"dish_liked","cuisine_type","location","restuarant_type"
"Cocktails","North Indian","Koramangala 6th Block","Pub"
"Cocktails","North Indian","Koramangala 6th Block"," Casual Dining"
"Cocktails","North Indian","Kalyan Nagar","Bar"
"Cocktails","North Indian","Marathahalli","Fine Dining"
"Cocktails","North Indian","Ulsoor","Casual Dining"
"Cocktails","North Indian","Ulsoor"," Bar"
"Cocktails","North Indian","BTM","Casual Dining"
"Cocktails","North Indian","BTM"," Bar"
"Cocktails","North Indian","Bellandur","Lounge"
"Cocktails","North Indian","Bellandur"," Casual Dining"
"Cocktails","North Indian","JP Nagar","Bar"
"Cocktails","North Indian","Whitefield","Casual Dining"
"Cocktails","North Indian","Whitefield"," Bar"
"Cocktails","North Indian","Koramangala 1st Block","Pub"
"Cocktails","North Indian","Brigade Road"," Casual Dining"
"Cocktails","North Indian","HSR","Bar"
"Cocktails","North Indian","HSR"," Casual Dining"
"Cocktails","North Indian","Domlur","Fine Dining"
"Cocktails","North Indian","Whitefield","Fine Dining"
"Cocktails","North Indian","Shanti Nagar","Casual Dining"
"Cocktails","North Indian","Shanti Nagar"," Pub"
"Cocktails","North Indian","Cunningham Road","Pub"
"Cocktails","North Indian","Cunningham Road"," Cafe"
"Cocktails","North Indian","Indiranagar","Fine Dining"
"Cocktails","North Indian","Jayanagar","Casual Dining"
"Cocktails","North Indian","Residency Road","Pub"
"Cocktails","North Indian","St. Marks Road","Pub"
"Cocktails","North Indian","Residency Road"," Lounge"
"Cocktails","North Indian","MG Road"," Cafe"
"Cocktails","North Indian","Koramangala 5th Block","Lounge"
"Cocktails","North Indian","Marathahalli","Bar"
"Cocktails","North Indian","Koramangala 6th Block","Casual Dining"
"Cocktails","North Indian","Cunningham Road","Casual Dining"
"Cocktails","North Indian","Koramangala 6th Block","Lounge"
"Cocktails","North Indian","Koramangala 6th Block"," Microbrewery"
"Cocktails","North Indian","Old Airport Road","Pub"
"Cocktails","North Indian","Old Airport Road"," Microbrewery"
"Cocktails","North Indian","Residency Road","Bar"
"Cocktails","North Indian","Koramangala 7th Block","Bar"
"Cocktails","North Indian","Koramangala 7th Block"," Casual Dining"
"Cocktails","North Indian","Malleshwaram","Casual Dining"
"Cocktails","North Indian","MG Road","Lounge"
"Cocktails","North Indian","Whitefield","Lounge"
"Cocktails","North Indian","New BEL Road","Pub"
"Cocktails","North Indian","Whitefield"," Microbrewery"
"Cocktails","North Indian","HBR Layout","Pub"
"Cocktails","North Indian","Ulsoor"," Casual Dining"
"Cocktails","North Indian","St. Marks Road","Casual Dining"
"Cocktails","North Indian","St. Marks Road"," Bar"
"Cocktails","North Indian","Old Airport Road","Bar"
"Cocktails","North Indian","Indiranagar","Cafe"
"Cocktails","North Indian","Banaswadi","Bar"
"Cocktails","North Indian","Jayanagar","Pub"
"Cocktails","North Indian","Jayanagar"," Casual Dining"
"Cocktails","North Indian","Koramangala 4th Block","Microbrewery"
"Cocktails","North Indian","Koramangala 4th Block"," Bar"
"Cocktails","North Indian","Basaveshwara Nagar","Casual Dining"
"Cocktails","North Indian","Basaveshwara Nagar"," Bar"
"Cocktails","North Indian","Church Street","Casual Dining"
"Cocktails","North Indian","Church Street"," Bar"
"Cocktails","North Indian","Old Airport Road","Casual Dining"
"Cocktails","North Indian","Old Airport Road"," Pub"
"Cocktails","North Indian","Indiranagar","Pub"
"Cocktails","North Indian","Sahakara Nagar","Microbrewery"
"Cocktails","North Indian","Sahakara Nagar"," Casual Dining"
"Cocktails","North Indian","Bannerghatta Road","Lounge"
"Cocktails","North Indian","Church Street","Bar"
"Cocktails","North Indian","Church Street"," Casual Dining"
"Cocktails","North Indian","Banaswadi","Casual Dining"
"Cocktails","North Indian","Marathahalli","Microbrewery"
"Cocktails","North Indian","Marathahalli"," Pub"
"Cocktails","North Indian","JP Nagar","Microbrewery"
"Cocktails","North Indian","Koramangala 5th Block"," Bar"
"Cocktails","North Indian","Church Street","Lounge"
"Cocktails","North Indian","Koramangala 3rd Block","Cafe"
"Cocktails","North Indian","Koramangala 3rd Block"," Lounge"
"Cocktails","North Indian","Whitefield"," Casual Dining"
"Cocktails","North Indian","ITPL Main Road, Whitefield","Bar"
"Cocktails","North Indian","Electronic City","Fine Dining"
"Cocktails","North Indian","Koramangala 4th Block","Bar"
"Cocktails","North Indian","Koramangala 4th Block"," Casual Dining"
"Cocktails","North Indian","Malleshwaram"," Bar"
"Cocktails","North Indian","Electronic City","Bar"
"Cocktails","North Indian","Ulsoor","Fine Dining"
"Cocktails","North Indian","New BEL Road"," Casual Dining"
"Cocktails","North Indian","Domlur","Bar"
"Cocktails","North Indian","MG Road","Pub"
"Cocktails","North Indian","MG Road"," Casual Dining"
"Cocktails","North Indian","Koramangala 5th Block","Cafe"
"Cocktails","North Indian","Malleshwaram","Pub"
"Cocktails","North Indian","Sankey Road","Bar"
"Cocktails","North Indian","HSR","Lounge"
"Cocktails","North Indian","Koramangala 4th Block","Casual Dining"
"Cocktails","North Indian","Residency Road","Fine Dining"
"Cocktails","North Indian","Koramangala 4th Block","Pub"
"Cocktails","North Indian","Jayanagar","Microbrewery"
"Cocktails","North Indian","Lavelle Road"," Irani Cafee"
"Cocktails","North Indian","Lavelle Road","Fine Dining"
"Cocktails","North Indian","Lavelle Road"," Microbrewery"
"Cocktails","North Indian","Race Course Road","Bar"
"Cocktails","North Indian","Race Course Road"," Casual Dining"
"Cocktails","North Indian","Church Street","Pub"
"Cocktails","North Indian","Brigade Road","Pub"
"Cocktails","North Indian","Brigade Road"," Microbrewery"
"Cocktails","North Indian","New BEL Road"," Cafe"
"Cocktails","North Indian","Vasanth Nagar","Casual Dining"
"Cocktails","North Indian","Kalyan Nagar","Microbrewery"
"Cocktails","North Indian","Kalyan Nagar"," Casual Dining"
"Cocktails","North Indian","Race Course Road","Casual Dining"
"Cocktails","North Indian","Race Course Road"," Bar"
"Cocktails","North Indian","Kalyan Nagar","Lounge"
"Cocktails","North Indian","Bannerghatta Road","Casual Dining"
"Cocktails","North Indian","Jayanagar"," Bar"
"Cocktails","North Indian","Indiranagar","Takeaway"
"Cocktails","North Indian","Indiranagar"," Delivery"
"Cocktails","North Indian","Infantry Road","Casual Dining"
"Cocktails","North Indian","Infantry Road"," Bar"
"Cocktails","North Indian","Frazer Town","Pub"
"Cocktails","North Indian","Frazer Town"," Casual Dining"
"Cocktails","North Indian","Koramangala 5th Block","Microbrewery"
"Cocktails","North Indian","Bellandur","Club"
"Cocktails","North Indian","Richmond Road","Casual Dining"
"Cocktails","North Indian","Brigade Road","Microbrewery"
"Cocktails","North Indian","Malleshwaram","Microbrewery"
"Cocktails","North Indian","Brigade Road","Club"
"Cocktails","North Indian","Residency Road","Lounge"
"Cocktails","North Indian","Marathahalli","Lounge"
"Cocktails","North Indian","Koramangala 5th Block"," Pub"
"Cocktails","North Indian","Brigade Road"," Quick Bites"
"Cocktails","North Indian","Sarjapur Road","Bar"
"Cocktails","North Indian","Sarjapur Road"," Casual Dining"
"Cocktails","North Indian","Rajajinagar","Fine Dining"
"Cocktails","North Indian","Koramangala 7th Block","Lounge"
"Cocktails","North Indian","Ulsoor","Lounge"
"Cocktails","North Indian","Koramangala 6th Block","Microbrewery"
"Cocktails","North Indian","Brigade Road","Casual Dining"
"Cocktails","North Indian","Brigade Road"," Bar"
"Cocktails","North Indian","Sarjapur Road","Pub"
"Cocktails","North Indian","Kalyan Nagar","Pub"
"Cocktails","North Indian","Brookefield","Casual Dining"
"Cocktails","North Indian","Brookefield"," Bar"
"Cocktails","North Indian","Nagawara","Bar"
"Cocktails","North Indian","Vasanth Nagar","Pub"
"Cocktails","North Indian","Rajajinagar","Bar"
"Cocktails","North Indian","Rajajinagar"," Casual Dining"
"Cocktails","North Indian","Whitefield"," Lounge"
"Cocktails","North Indian","Kalyan Nagar","Casual Dining"
"Cocktails","North Indian","Kalyan Nagar"," Pub"
"Cocktails","North Indian","Race Course Road","Lounge"
"Cocktails","North Indian","Richmond Road","Fine Dining"
"Cocktails","North Indian","HSR"," Pub"
"Cocktails","North Indian","Brookefield","Pub"
"Cocktails","North Indian","Brookefield"," Casual Dining"
"Cocktails","North Indian","Bellandur"," Pub"
"Cocktails","North Indian","Basavanagudi","Pub"
"Cocktails","North Indian","Malleshwaram","Lounge"
"Cocktails","North Indian","Bannerghatta Road"," Bar"
"Cocktails","North Indian","Residency Road","Casual Dining"
"Cocktails","North Indian","Sarjapur Road","Lounge"
"Cocktails","North Indian","Bannerghatta Road","Microbrewery"
"Cocktails","North Indian","Bannerghatta Road"," Casual Dining"
"Cocktails","North Indian","HSR"," Cafe"
"Cocktails","North Indian","Malleshwaram","Fine Dining"
"Cocktails","North Indian","Seshadripuram","Lounge"
"Cocktails","North Indian","Basavanagudi","Casual Dining"
"Cocktails","North Indian","New BEL Road","Casual Dining"
"Cocktails","North Indian","New BEL Road"," Lounge"
"Cocktails","North Indian","MG Road","Club"
"Cocktails","North Indian","Old Airport Road","Club"
"Cocktails","North Indian","Old Airport Road"," Casual Dining"
"Cocktails","North Indian","Vasanth Nagar","Lounge"
"Cocktails","North Indian","Vasanth Nagar"," Bar"
"Cocktails","North Indian","Sankey Road","Club"
"Cocktails","North Indian","Residency Road"," Bar"
"Coconut Biscuits","Bakery","Rajajinagar","Bakery"
"Coconut Chicken","European","HSR","Takeaway"
"Coconut Chicken","European","HSR"," Delivery"
"Coconut Chicken","European","JP Nagar","Bar"
"Coconut Chicken","European","JP Nagar"," Casual Dining"
"Coconut Ice Cream","Ice Cream","Whitefield","Casual Dining"
"Coconut Ice Cream","Ice Cream","Malleshwaram","Dessert Parlor"
"Coconut Juice","North Indian","Electronic City","Quick Bites"
"Coconut Mousse","South Indian","Church Street","Casual Dining"
"Coconut Payassam","Chettinad","Koramangala 5th Block","Casual Dining"
"Coconut Pudding","Seafood","Banashankari","Casual Dining"
"Coconut Rice","Seafood","St. Marks Road","Casual Dining"
"Coconut Souffle","South Indian","Indiranagar","Casual Dining"
"Coconut Soup","Japanese","HSR","Casual Dining"
"Cod","Mediterranean","Whitefield","Casual Dining"
"Coffee","Cafe","Koramangala 6th Block","Cafe"
"Coffee","Cafe","Indiranagar","Quick Bites"
"Coffee","Cafe","Residency Road","Casual Dining"
"Coffee","Cafe","Domlur","Quick Bites"
"Coffee","Cafe","Malleshwaram","Cafe"
"Coffee","Cafe","Hennur","Cafe"
"Coffee","Cafe","HSR","Cafe"
"Coffee","Cafe","HSR"," Casual Dining"
"Coffee","Cafe","Indiranagar","Cafe"
"Coffee","Cafe","Indiranagar"," Casual Dining"
"Coffee","Cafe","Basavanagudi","Casual Dining"
"Coffee","Cafe","Sarjapur Road","Casual Dining"
"Coffee","Cafe","Ulsoor","Cafe"
"Coffee","Cafe","Ulsoor"," Bakery"
"Coffee","Cafe","Indiranagar","Dessert Parlor"
"Coffee","Cafe","Indiranagar"," Cafe"
"Coffee","Cafe","Vasanth Nagar","Cafe"
"Coffee","Cafe","Koramangala 7th Block","Cafe"
"Coffee","Cafe","Domlur","Casual Dining"
"Coffee","Cafe","Domlur"," Bar"
"Coffee","Cafe","Electronic City","Cafe"
"Coffee","Cafe","JP Nagar","Quick Bites"
"Coffee","Cafe","New BEL Road","Cafe"
"Coffee","Cafe","MG Road","Cafe"
"Coffee","Cafe","Koramangala 5th Block","Cafe"
"Coffee","Cafe","Koramangala 3rd Block","Cafe"
"Coffee","Cafe","Brookefield","Quick Bites"
"Coffee","Cafe","Frazer Town","Quick Bites"
"Coffee","Cafe","Kalyan Nagar","Quick Bites"
"Coffee","Cafe","Whitefield","Quick Bites"
"Coffee","Cafe","BTM","Dessert Parlor"
"Coffee","Cafe","Whitefield","Casual Dining"
"Coffee","Cafe","Sadashiv Nagar","Cafe"
"Coffee","Cafe","Shanti Nagar","Casual Dining"
"Coffee","Cafe","Jayanagar","Dessert Parlor"
"Coffee","Cafe","Brigade Road","Quick Bites"
"Coffee","Cafe","Brigade Road"," Dessert Parlor"
"Coffee","Cafe","Sarjapur Road","Dessert Parlor"
"Coffee","Cafe","Koramangala 4th Block","Cafe"
"Coffee","Cafe","Rajajinagar","Quick Bites"
"Coffee","Cafe","Whitefield","Fine Dining"
"Coffee","Cafe","HSR","Dessert Parlor"
"Coffee","Cafe","JP Nagar","Food Court"
"Coffee","Cafe","Marathahalli","Cafe"
"Coffee","Cafe","BTM","Cafe"
"Coffee","Cafe","BTM"," Bakery"
"Coffee","Cafe","Bannerghatta Road","Cafe"
"Coffee","Cafe","Bannerghatta Road"," Bakery"
"Coffee","Cafe","Frazer Town","Cafe"
"Coffee","Cafe","Sadashiv Nagar"," Bakery"
"Coffee","Cafe","Residency Road","Quick Bites"
"Coffee","Cafe","Bannerghatta Road","Quick Bites"
"Coffee","Cafe","Electronic City","Casual Dining"
"Coffee","Cafe","Lavelle Road","Bakery"
"Coffee","Cafe","Lavelle Road"," Cafe"
"Coffee","Cafe","Koramangala 1st Block","Quick Bites"
"Coffee","Cafe","Richmond Road","Cafe"
"Coffee","Cafe","Jayanagar","Cafe"
"Coffee","Cafe","Koramangala 5th Block","Dessert Parlor"
"Coffee","Cafe","Indiranagar","Bakery"
"Coffee","Cafe","Koramangala 1st Block","Cafe"
"Coffee","Cafe","Koramangala 1st Block","Bakery"
"Coffee","Cafe","Banaswadi","Quick Bites"
"Coffee","Cafe","Whitefield","Bakery"
"Coffee","Cafe","Whitefield"," Cafe"
"Coffee","Cafe","HSR","Casual Dining"
"Coffee","Cafe","Jayanagar","Casual Dining"
"Coffee","Cafe","Banaswadi","Cafe"
"Coffee","Cafe","Electronic City","Dessert Parlor"
"Coffee","Cafe","HSR","Quick Bites"
"Coffee","Cafe","Koramangala 7th Block","Dessert Parlor"
"Coffee","Cafe","JP Nagar","Cafe"
"Coffee","Cafe","Bellandur","Casual Dining"
"Coffee","Cafe","Brookefield","Beverage Shop"
"Coffee","Cafe","Brookefield"," Quick Bites"
"Coffee","Cafe","St. Marks Road","Casual Dining"
"Coffee","Cafe","JP Nagar","Casual Dining"
"Coffee","Cafe","Banashankari","Quick Bites"
"Coffee","Cafe","Whitefield","Cafe"
"Coffee","Cafe","Koramangala 5th Block","Bakery"
"Coffee","Cafe","Residency Road","Cafe"
"Coffee","Cafe","Basaveshwara Nagar","Cafe"
"Coffee","Cafe","Whitefield","Food Court"
"Coffee","Cafe","Indiranagar"," Bakery"
"Coffee","Cafe","Sarjapur Road","Cafe"
"Coffee","Cafe","Ulsoor","Quick Bites"
"Coffee","Cafe","Basavanagudi","Quick Bites"
"Coffee","Cafe","Indiranagar","Casual Dining"
"Coffee","Cafe","Koramangala 3rd Block","Quick Bites"
"Coffee","Cafe","Bannerghatta Road","Casual Dining"
"Coffee","Cafe","Koramangala 6th Block","Quick Bites"
"Coffee","Cafe","Sarjapur Road","Quick Bites"
"Coffee","Cafe","Old Airport Road","Dessert Parlor"
"Coffee","Cafe","Old Airport Road"," Cafe"
"Coffee","Cafe","Sanjay Nagar","Quick Bites"
"Coffee","Cafe","Cunningham Road","Cafe"
"Coffee","Cafe","Cunningham Road"," Dessert Parlor"
"Coffee","Cafe","Electronic City"," Dessert Parlor"
"Coffee","Cafe","Bellandur","Cafe"
"Coffee","Cafe","Whitefield","Dessert Parlor"
"Coffee","Cafe","Whitefield"," Quick Bites"
"Coffee","Cafe","MG Road","Dessert Parlor"
"Coffee","Cafe","Kalyan Nagar","Cafe"
"Coffee","Cafe","Kalyan Nagar"," Casual Dining"
"Coffee","Cafe","Shanti Nagar","Quick Bites"
"Coffee","Cafe","Church Street","Beverage Shop"
"Coffee","Cafe","Church Street"," Cafe"
"Coffee","Cafe","Kumaraswamy Layout","Cafe"
"Coffee","Cafe","Ulsoor","Casual Dining"
"Coffee","Cafe","Ulsoor"," Cafe"
"Coffee","Cafe","MG Road","Casual Dining"
"Coffee","Cafe","BTM","Quick Bites"
"Coffee","Cafe","Banashankari","Casual Dining"
"Coffee","Cafe","BTM"," Beverage Shop"
"Coffee","Cafe","Jayanagar"," Casual Dining"
"Coffee","Cafe","Jayanagar","Quick Bites"
"Coffee","Cafe","Brookefield","Cafe"
"Coffee","Cafe","Electronic City","Fine Dining"
"Coffee","Cafe","Malleshwaram","Dessert Parlor"
"Coffee","Cafe","Kumaraswamy Layout","Quick Bites"
"Coffee","Cafe","Kalyan Nagar","Dessert Parlor"
"Coffee","Cafe","BTM","Casual Dining"
"Coffee","Cafe","Bellandur"," Dessert Parlor"
"Coffee","Cafe","HSR"," Bakery"
"Coffee","Cafe","Koramangala 7th Block","Quick Bites"
"Coffee","Cafe","Marathahalli","Lounge"
"Coffee","Cafe","Kumaraswamy Layout","Casual Dining"
"Coffee","Cafe","Kalyan Nagar"," Cafe"
"Coffee","Cafe","New BEL Road"," Casual Dining"
"Coffee","Cafe","Brigade Road","Dessert Parlor"
"Coffee","Cafe","Malleshwaram","Casual Dining"
"Coffee","Cafe","Koramangala 8th Block","Cafe"
"Coffee","Cafe","Infantry Road","Quick Bites"
"Coffee","Cafe","Kammanahalli","Quick Bites"
"Coffee","Cafe","Frazer Town","Casual Dining"
"Coffee","Cafe","Marathahalli","Dessert Parlor"
"Coffee","Cafe","Lavelle Road","Dessert Parlor"
"Coffee","Cafe","Whitefield"," Bar"
"Coffee","Cafe","Malleshwaram","Food Court"
"Coffee","Cafe","Richmond Road","Dessert Parlor"
"Coffee","Cafe","Old Airport Road","Fine Dining"
"Coffee","Cafe","Malleshwaram"," Dessert Parlor"
"Coffee","Cafe","Banashankari","Cafe"
"Coffee","Cafe","Bannerghatta Road","Dessert Parlor"
"Coffee","Cafe","MG Road","Fine Dining"
"Coffee","Cafe","Indiranagar"," Dessert Parlor"
"Coffee","Cafe","Richmond Road","Casual Dining"
"Coffee","Cafe","Brigade Road","Casual Dining"
"Coffee","Cafe","JP Nagar","Dessert Parlor"
"Coffee","Cafe","Koramangala 4th Block","Bakery"
"Coffee","Cafe","Jeevan Bhima Nagar","Cafe"
"Coffee","Cafe","Vasanth Nagar","Quick Bites"
"Coffee","Cafe","HSR"," Dessert Parlor"
"Coffee","Cafe","Marathahalli","Beverage Shop"
"Coffee","Cafe","Lavelle Road","Cafe"
"Coffee","Cafe","Lavelle Road"," Bakery"
"Coffee","Cafe","Electronic City"," Bakery"
"Coffee","Cafe","Race Course Road","Dessert Parlor"
"Coffee","Cafe","Church Street","Cafe"
"Coffee","Cafe","BTM","Bakery"
"Coffee","Cafe","BTM"," Quick Bites"
"Coffee","Cafe","Sarjapur Road"," Dessert Parlor"
"Coffee","Cafe","Koramangala 4th Block"," Quick Bites"
"Coffee","Cafe","Marathahalli","Quick Bites"
"Coffee","Cafe","Indiranagar",""
"Coffee","Cafe","Majestic","Quick Bites"
"Coffee","Cafe","Koramangala 5th Block"," Quick Bites"
"Coffee","Cafe","Ulsoor","Bakery"
"Coffee","Cafe","Ulsoor"," Quick Bites"
"Coffee","Cafe","Kalyan Nagar","Casual Dining"
"Coffee","Cafe","Nagawara","Quick Bites"
"Coffee","Cafe","Nagawara"," Dessert Parlor"
"Coffee","Cafe","Jayanagar"," Cafe"
"Coffee","Cafe","Residency Road","Fine Dining"
"Coffee","Cafe","Race Course Road","Casual Dining"
"Coffee","Cafe","Sahakara Nagar","Casual Dining"
"Coffee","Cafe","Marathahalli","Casual Dining"
"Coffee","Cafe","Basaveshwara Nagar","Dessert Parlor"
"Coffee","Cafe","Koramangala 3rd Block","Fine Dining"
"Coffee","Cafe","JP Nagar","Bar"
"Coffee","Cafe","Frazer Town","Bakery"
"Coffee","Cafe","Frazer Town"," Quick Bites"
"Coffee","Cafe","Koramangala 4th Block"," Casual Dining"
"Coffee","Cafe","MG Road"," Cafe"
"Coffee","Cafe","Rajajinagar","Casual Dining"
"Coffee","Cafe","Residency Road","Dessert Parlor"
"Coffee","Cafe","ITPL Main Road, Whitefield","Quick Bites"
"Coffee","Cafe","JP Nagar","Beverage Shop"
"Coffee","Cafe","JP Nagar"," Quick Bites"
"Coffee","Cafe","Indiranagar","Beverage Shop"
"Coffee","Cafe","Indiranagar"," Quick Bites"
"Coffee","Cafe","Malleshwaram","Quick Bites"
"Coffee","Cafe","New BEL Road","Quick Bites"
"Coffee","Cafe","Jayanagar","Beverage Shop"
"Coffee","Cafe","Shivajinagar","Casual Dining"
"Coffee","Cafe","Basaveshwara Nagar","Quick Bites"
"Coffee","Cafe","Kaggadasapura","Quick Bites"
"Coffee","Cafe","Koramangala 7th Block","Food Court"
"Coffee","Cafe","Sadashiv Nagar","Quick Bites"
"Coffee","Cafe","Lavelle Road","Casual Dining"
"Coffee","Cafe","City Market","Quick Bites"
"Coffee","Cafe","Seshadripuram","Quick Bites"
"Coffee Craze","Desserts","Indiranagar","Dessert Parlor"
"Coffee Craze","Desserts","Kalyan Nagar","Dessert Parlor"
"Coffee Hazelnut","Cafe","Koramangala 7th Block","Cafe"
"Coffee Hazelnut","Cafe","MG Road","Cafe"
"Coffee Ice Cream","Italian","Indiranagar","Casual Dining"
"Coffee Mousse","Pizza","JP Nagar","Casual Dining"
"Coffee Mousse","Pizza","JP Nagar"," Cafe"
"Coffee Shake","Cafe","Jayanagar","Cafe"
"Coffee Toffee","North Indian","Koramangala 1st Block","Casual Dining"
"Coffee Toffee","North Indian","Koramangala 1st Block"," Bar"
"Coffee Walnut","Ice Cream","Sarjapur Road","Dessert Parlor"
"Coffee Walnut","Ice Cream","Bannerghatta Road","Dessert Parlor"
"Coffee Walnut","Ice Cream","Koramangala 1st Block","Dessert Parlor"
"Coffee Walnut","Ice Cream","Jayanagar","Dessert Parlor"
"Coffee Walnut","Ice Cream","New BEL Road","Dessert Parlor"
"Coke Float","Fast Food","New BEL Road","Quick Bites"
"Cold Coffee","Cafe","BTM","Cafe"
"Coleslaw Sandwich","Cafe","Banashankari","Cafe"
"Cookie Crunch","Desserts","Jayanagar","Dessert Parlor"
"Cookie Crunch","Desserts","Malleshwaram","Dessert Parlor"
"Cookie Crunch","Desserts","Indiranagar","Dessert Parlor"
"Cookie Crunch","Desserts","Koramangala 7th Block","Dessert Parlor"
"Cookie Monster Shake","Cafe","Church Street","Cafe"
"Coorg Pandi Pizza","Pizza","Jeevan Bhima Nagar","Takeaway"
"Coorg Pandi Pizza","Pizza","Jeevan Bhima Nagar"," Delivery"
"Coriander Chicken","Chinese","JP Nagar","Casual Dining"
"Coriander Soup","South Indian","Residency Road","Casual Dining"
"Coriander Soup","South Indian","Basavanagudi","Casual Dining"
"Corn Augratin","Italian","Jayanagar","Casual Dining"
"Corn Balls","Cafe","Domlur","Lounge"
"Corn Balls","Cafe","Domlur"," Cafe"
"Corn Balls","Cafe","Jayanagar","Cafe"
"Corn Bhel","Cafe","Indiranagar","Cafe"
"Corn Cigars","North Indian","Rajajinagar","Casual Dining"
"Corn Dog","Cafe","Residency Road","Dessert Parlor"
"Corn Dog","Cafe","Residency Road"," Quick Bites"
"Corn Dosa","South Indian","Banashankari","Quick Bites"
"Corn Flakes","Desserts","Indiranagar","Dessert Parlor"
"Corn Flakes","Desserts","Indiranagar"," Beverage Shop"
"Corn Fritters","Asian","Whitefield","Casual Dining"
"Corn Fritters","Asian","Residency Road","Bar"
"Corn Fritters","Asian","Residency Road"," Casual Dining"
"Corn Fry","North Indian","Koramangala 5th Block","Casual Dining"
"Corn Fry","North Indian","Koramangala 5th Block"," Bar"
"Corn Momo","Chinese","Indiranagar","Cafe"
"Corn Momo","Chinese","JP Nagar","Quick Bites"
"Corn Momo","Chinese","Malleshwaram","Food Court"
"Corn Pakoda","Konkan","Jayanagar","Casual Dining"
"Corn Paratha","North Indian","Jayanagar","Microbrewery"
"Corn Paratha","North Indian","Jayanagar"," Casual Dining"
"Corn Paratha","North Indian","Brookefield","Casual Dining"
"Corn Paratha","North Indian","Koramangala 1st Block","Quick Bites"
"Corn Paratha","North Indian","HSR","Casual Dining"
"Corn Paratha","North Indian","RT Nagar","Casual Dining"
"Corn Paratha","North Indian","Indiranagar","Casual Dining"
"Corn Pizza","Pizza","Malleshwaram","Casual Dining"
"Corn Sandwich","Fast Food","Jayanagar","Casual Dining"
"Corn Sandwich","Fast Food","Electronic City","Beverage Shop"
"Corn Sandwich","Fast Food","Jayanagar","Quick Bites"
"Corn Sandwich","Fast Food","Bannerghatta Road","Delivery"
"Corn Sandwich","Fast Food","Koramangala 5th Block","Cafe"
"Corn Sandwich","Fast Food","Whitefield","Delivery"
"Corn Sandwich","Fast Food","St. Marks Road","Quick Bites"
"Corn Sandwich","Fast Food","Basavanagudi","Quick Bites"
"Corn Sandwich","Fast Food","Lavelle Road","Cafe"
"Corn Sandwich","Fast Food","Electronic City","Quick Bites"
"Corn Soup","North Indian","Brigade Road","Casual Dining"
"Corn Soup","North Indian","Malleshwaram","Quick Bites"
"Corn Soup","North Indian","Sadashiv Nagar","Casual Dining"
"Corn Tikki","Andhra","Basavanagudi","Casual Dining"
"Cosmopolitan","Continental","Indiranagar","Bar"
"Cosmopolitan","Continental","Indiranagar"," Casual Dining"
"Cosmopolitan","Continental","Koramangala 5th Block","Pub"
"Cosmopolitan","Continental","Koramangala 5th Block"," Bar"
"Cosmopolitan","Continental","Marathahalli","Microbrewery"
"Cosmopolitan","Continental","Marathahalli"," Pub"
"Cosmopolitan","Continental","Richmond Road","Casual Dining"
"Cosmopolitan","Continental","Indiranagar","Casual Dining"
"Cosmopolitan","Continental","Indiranagar"," Bar"
"Cosmopolitan","Continental","Sarjapur Road","Microbrewery"
"Cosmopolitan","Continental","Sarjapur Road"," Casual Dining"
"Cosmopolitan","Continental","Whitefield","Pub"
"Cosmopolitan","Continental","Whitefield"," Microbrewery"
"Cottage Cheese Sandwich","Cafe","HSR","Cafe"
"Cottage Cheese Steak","Desserts","JP Nagar","Dessert Parlor"
"Cotton Candy","Ice Cream","Indiranagar","Dessert Parlor"
"Cotton Candy Ice Cream","Ice Cream","Bannerghatta Road","Dessert Parlor"
"Country Feast","Pizza","Banashankari","Casual Dining"
"Courteous Staff","Ice Cream","Bannerghatta Road","Dessert Parlor"
"Courteous Staff","Ice Cream","Bannerghatta Road"," Quick Bites"
"Courteous Staff","Ice Cream","Koramangala 5th Block","Casual Dining"
"Crab Burger","Cafe","Indiranagar","Quick Bites"
"Crab Burger","Cafe","Indiranagar","Cafe"
"Crab Butter","Seafood","Residency Road","Casual Dining"
"Crab Cake","European","Lavelle Road","Casual Dining"
"Crab Cake","European","Lavelle Road"," Bar"
"Crab Fry","Konkan","Sarjapur Road","Casual Dining"
"Crab Ghee Roast","Seafood","Kalyan Nagar","Casual Dining"
"Crab Ghee Roast","Seafood","Indiranagar","Casual Dining"
"Crab Ghee Roast","Seafood","Koramangala 5th Block","Casual Dining"
"Crab Ghee Roast","Seafood","Residency Road","Casual Dining"
"Crab Masala","South Indian","HSR","Casual Dining"
"Crab Masala","South Indian","Infantry Road","Casual Dining"
"Crab Masala","South Indian","Infantry Road"," Bar"
"Crab Masala","South Indian","Marathahalli","Casual Dining"
"Crab Masala","South Indian","Richmond Road","Casual Dining"
"Crab Masala","South Indian","Indiranagar","Quick Bites"
"Crab Masala","South Indian","Residency Road","Casual Dining"
"Crab Meat","Goan","Kumaraswamy Layout","Casual Dining"
"Crab Ravioli","Asian","Sahakara Nagar","Microbrewery"
"Crab Ravioli","Asian","Sahakara Nagar"," Casual Dining"
"Crab Roll","Korean","Brigade Road","Casual Dining"
"Crab Soup","Goan","Old Airport Road","Casual Dining"
"Crab Soup","Goan","Ulsoor","Casual Dining"
"Crab Soup","Goan","Koramangala 4th Block","Casual Dining"
"Crab Soup","Goan","Infantry Road","Casual Dining"
"Crab Soup","Goan","Infantry Road"," Bar"
"Crab Soup","Goan","Koramangala 5th Block","Casual Dining"
"Crab Soup","Goan","Cunningham Road","Casual Dining"
